file,class,gun,n_raw_rows,n_grid_1hz,start,end,span_days,missing_rate,n_gaps,longest_gap_s,gap_over_1h,outlier_rate,c10_on_share,welds_total,welds_per_hour,position_count_delta,c2_zero_share,c5_zero_share,n_error_episodes,error_state_share,n_error_codes,top_code_by_time,last_code,last_code_end_s_before_failure,last_code_duration_s,last10min_codes,discard_by_paper,nunique_c1,nunique_c2,nunique_c3,nunique_c4,nunique_c5,nunique_c6,nunique_c7,nunique_c8,nunique_c9,nunique_c11,nunique_c12,nunique_c13,nunique_c14,nunique_c15,nunique_c16,nunique_c17,nunique_c18,nunique_c19
E03_15,E03,15,598894,605401,2021-10-14 21:46:30,2021-10-21 21:56:30,7.01,0.010748247855553617,1593,41,0,0.09426876876375452,0.8637571924247028,66328.0,394.418235877106,139222.0,0.6583218399249283,0.016009510865027866,3,0.013386342157376765,3,E011,E028,430.0,171.0,E028,False,32,2856,1371,2,3764,96,1,1,1,65875,125445,25,15,8,9,2,2,235842
E03_16,E03,16,599838,605400,2021-08-31 21:49:24,2021-09-07 21:59:23,7.01,0.009187314172448002,1440,926,0,0.10252768247426805,0.8821798552275781,49252.0,292.87659873901345,102579.0,0.32375741450191553,0.028290971895745184,3,0.02961966397594017,2,E003,E028,138.0,462.0,E028,False,34,1846,1131,2,2665,80,1,1,1,48998,91162,5,9,7,5,2,2,372420
E03_17,E03,17,600302,605401,2021-08-30 21:43:11,2021-09-06 21:53:11,7.01,0.008422516645991696,1515,42,0,0.1513987959393772,0.8483430006896528,87626.0,521.0664023785926,182258.0,0.3581863795223071,0.06897861409757089,8,0.09849042648533571,2,E003,E028,591.0,10.0,E028,False,45,3797,1421,2,4543,63,1,1,1,87145,87093,22,14,8,13,2,2,372889
E03_2,E03,2,600042,605401,2021-09-23 11:12:10,2021-09-30 11:22:10,7.01,0.008851984056848283,1446,239,0,0.05688935107875782,0.26610470600391306,6221.0,36.99306243805748,13775.0,0.9785115041947063,0.7472676912616116,2,0.0013582382566553674,2,E029,E028,403.0,198.0,E028,False,21,1009,1277,2,1900,14,1,1,1,6203,13380,8,8,6,4,2,2,211796
E03_3,E03,3,595855,605401,2021-09-05 09:19:26,2021-09-12 09:29:26,7.01,0.01576806116937368,1966,1053,0,0.18285824571414186,0.8001795738896208,35288.0,209.83944499504457,76882.0,0.9070377860385497,0.002854721366775474,3,0.00047998254608923313,3,E012,E028,534.0,67.0,E028,False,25,2305,1938,2,3488,62,1,1,1,34996,70315,13,11,55,8,2,2,370909
E03_4,E03,4,598800,605401,2021-10-14 23:32:12,2021-10-21 23:42:12,7.01,0.010903516842555638,1581,62,0,0.04337842351369405,0.8129191716766867,67024.0,398.55698711595636,135814.0,0.3065948563794255,0.14545925183700734,7,0.17649298597194388,3,E029,E028,570.0,31.0,E028,False,26,2689,2033,2,3393,88,1,1,1,66417,123799,4,10,6,8,2,2,235825
E03_5,E03,5,596662,605401,2021-10-08 02:52:48,2021-10-15 03:02:48,7.01,0.014435060397984145,1554,3630,1,0.01927724574382146,0.4681343876432553,2113.0,12.564915758176411,6469.0,0.2487321129885932,0.00017933101152746447,1,0.00011229138104990765,1,E028,E028,531.0,70.0,E028,False,9,2358,2312,2,6049,14,1,1,1,2111,6190,8,11,160,9,2,2,235097
E03_6,E03,6,599777,605398,2021-09-24 02:50:22,2021-10-01 03:00:19,7.01,0.009284801073013105,1418,908,0,0.2739068020280871,0.16203855766393177,2049.0,12.18440131021462,4416.0,0.9664191857973881,0.8328412059815565,3,0.11968114816006616,2,E029,E028,583.0,15.0,E028,False,9,563,693,2,1151,11,1,1,1,2050,4365,18,7,6,4,2,2,210295
E03_7,E03,7,594712,605401,2021-09-03 21:45:25,2021-09-10 21:55:25,7.01,0.01765606597940872,1767,929,0,0.08320497988942548,0.8807574086280419,19436.0,115.57581764122892,43976.0,0.42591708255424476,9.920768371917836e-05,7,0.10193673576453813,2,E003,E028,422.0,179.0,E028,False,32,1498,1586,2,5722,56,1,1,1,19155,21180,8,7,5,4,2,2,370336
E03_8,E03,8,598105,605401,2021-09-03 07:37:05,2021-09-10 07:47:05,7.01,0.012051516267729934,1942,63,0,0.1437556950702636,0.8538985629613529,97229.0,578.1704658077304,204698.0,0.3325436169234499,0.10577741366482474,5,0.09247707342356275,2,E003,E028,529.0,72.0,E028,False,29,2629,1475,2,3310,51,1,1,1,96271,94468,25,10,7,6,2,2,371658
E03_9,E03,9,598560,605401,2021-10-08 01:22:50,2021-10-15 01:32:50,7.01,0.011299948298730933,1480,929,0,0.005297714514835606,0.4787623630045442,1695.0,10.079286422200196,3835.0,0.06873162256081261,0.028349705960973002,5,0.016771919272921678,4,E029,E028,0.0,601.0,E028,False,28,1175,1620,2,2600,30,1,1,1,1677,3666,10,12,5,4,2,2,235998
E04_0,E04,0,600634,605401,2021-08-29 02:13:20,2021-09-05 02:23:20,7.01,0.007874119798282453,1363,44,0,0.028822877159801145,0.9178851014095106,38496.0,228.91575817641225,85181.0,0.865763509891215,0.013688868762008144,2,0.010272478747456853,2,E003,E029,232.0,369.0,E029,False,39,2065,1454,2,3031,54,1,1,1,38323,82574,9,8,5,4,2,2,373368
E04_1,E04,1,600489,605401,2021-08-29 02:17:33,2021-09-05 02:27:33,7.01,0.008113630469721689,1408,46,0,0.02908296405096513,0.9177870035920724,33857.0,201.3300297324083,82339.0,0.7756678307179649,0.011792056140911824,2,0.009866958428880463,2,E003,E029,486.0,115.0,E029,False,27,2342,1408,2,3431,30,1,1,1,33703,79546,7,10,4,5,2,2,372813
E04_10,E04,10,598664,605401,2021-09-09 03:13:01,2021-09-16 03:23:01,7.01,0.01112816133438832,2031,47,0,0.03436485240468777,0.8671391632033996,64199.0,381.75817641228934,130078.0,0.7466525463365093,0.0002555690671227934,3,0.0067901193323801,2,E003,E029,284.0,317.0,E029,False,37,4180,1596,2,5296,64,1,1,1,63722,63051,29,13,8,8,2,2,346377
E04_11,E04,11,599796,605401,2021-09-01 19:24:59,2021-09-08 19:34:59,7.01,0.009258326299428021,1593,46,0,0.09344010296834257,0.9253396154692596,97293.0,578.5510406342913,204602.0,0.550325443984288,0.0007252465838385051,4,0.03913163809028403,2,E003,E029,0.0,601.0,E029,False,21,3009,1604,2,4886,63,1,1,1,96645,95184,27,11,6,5,2,2,372676
E04_12,E04,12,599752,605401,2021-09-01 19:04:25,2021-09-08 19:14:25,7.01,0.009331005399726755,1598,66,0,0.16541003614827463,0.8363907081593726,97591.0,580.3230921704658,203680.0,0.4522769411356694,0.12085995544825194,7,0.12677573397004094,2,E011,E029,0.0,601.0,E029,False,40,2636,1318,2,3354,60,1,1,1,96887,95270,32,13,22,9,2,2,372300
E04_13,E04,13,599611,605401,2021-10-09 15:22:59,2021-10-16 15:32:59,7.01,0.009563908880229843,1572,110,0,0.19133905148504615,0.7618422610659245,7021.0,41.75024777006937,14612.0,0.8751874131728737,0.011854352238367874,5,0.013321970410816345,3,E011,E029,0.0,601.0,E029,False,42,1320,1204,2,2131,48,2,2,2,6974,6754,48,11,43,6,2,2,235765
E04_14,E04,14,598140,605401,2021-09-03 19:01:19,2021-09-10 19:11:19,7.01,0.011993703347037754,1912,53,0,0.0823887384224429,0.8341308054970408,53667.0,319.1298315163528,113538.0,0.6596499147356806,0.08056642257665429,11,0.05453405557227405,4,E003,E029,0.0,601.0,E029,False,5,3102,1515,2,3940,49,1,1,1,53289,56238,16,15,8,10,2,2,371541
E04_15,E04,15,600421,605401,2021-08-31 18:56:32,2021-09-07 19:06:32,7.01,0.008225952715638085,1483,43,0,0.1567566757325277,0.7742434058768763,51508.0,306.2913776015857,109862.0,0.85167074436104,0.1724240158155694,10,0.144596874526374,3,E003,E029,0.0,601.0,E029,False,34,2991,1584,2,3835,67,1,1,1,51237,96036,21,12,8,10,2,2,372749
E04_16,E04,16,600622,605401,2021-08-29 02:05:17,2021-09-05 02:15:17,7.01,0.007893941371091229,1337,39,0,0.040276579945456546,0.9005530932932859,72200.0,429.3359762140733,149616.0,0.7997359404084432,0.004521978881892438,4,0.01149475044204175,4,E011,E029,0.0,601.0,E029,False,6,2799,1307,2,3447,46,1,1,1,71782,70147,11,11,5,7,2,2,373040
E04_17,E04,17,600263,605401,2021-08-29 02:06:51,2021-09-05 02:16:51,7.01,0.008486936757620134,1331,45,0,0.03204761912694935,0.9004003245244168,43347.0,257.76214073339935,90628.0,0.6385551000144937,0.010578696338105131,2,0.010668656905389803,2,E003,E029,0.0,601.0,E029,False,17,2295,1598,2,3531,52,1,1,1,43130,78057,4,10,6,5,2,2,373074
E04_2,E04,2,599953,605401,2021-08-30 18:57:17,2021-09-06 19:07:17,7.01,0.00899899405518001,1631,46,0,0.12003940308657511,0.8795288964302204,88072.0,523.7185332011892,181924.0,0.706810366812067,0.06727526989614187,5,0.06890373079224539,3,E011,E029,0.0,601.0,E029,False,24,2947,1310,2,3751,65,1,1,1,87588,85120,24,13,6,9,2,2,372925
E04_3,E04,3,600827,605401,2021-08-29 01:52:43,2021-09-05 02:02:43,7.01,0.007555322835608114,1420,136,0,0.15182906227582982,0.8922984486382936,78298.0,465.5976214073339,158951.0,0.07451063284439614,0.0009719936021517009,1,0.0009203980513525524,1,E029,E029,45.0,556.0,E029,False,4,2457,1138,2,3060,74,1,1,1,77951,137798,7,11,7,6,2,2,372853
E04_4,E04,4,597579,604892,2021-10-15 17:33:43,2021-10-22 17:35:14,7.0,0.01208976147808205,1727,902,0,0.06975144708900413,0.8804375655771036,96136.0,572.1520075517737,195852.0,0.7652561418657616,0.002433151098013819,1,0.00015228112098986075,1,E029,E029,0.0,92.0,E029,False,54,3404,1559,2,4388,54,2,1,2,95288,91584,25,13,10,11,1,2,236040
E04_5,E04,5,589944,605401,2021-09-27 11:03:37,2021-10-04 11:13:37,7.01,0.02553183757542521,1448,4628,2,0.20766886348534777,0.16339855986330906,144.0,0.8562933597621406,370.0,0.9996135226394369,0.029421436610932564,1,0.0004051231981340602,1,E029,E029,362.0,239.0,E029,False,6,108,211,2,654,6,1,1,1,115,141,22,15,23,11,2,2,215066
E04_6,E04,6,601034,605401,2021-08-28 03:20:12,2021-09-04 03:30:12,7.01,0.007213400704656925,1400,44,0,0.010746480232399498,0.9799761743927964,39324.0,233.83944499504457,83817.0,0.8256371519747635,0.0012761341288512796,1,1.1646595700076867e-05,1,E029,E029,594.0,7.0,E029,False,17,1878,1051,2,2690,67,1,1,1,39191,83055,13,10,3,4,1,2,372596
E04_7,E04,7,599909,605401,2021-08-30 02:26:44,2021-09-06 02:36:44,7.01,0.009071673155478743,1595,908,0,0.09135885609317414,0.964414602881437,77427.0,460.418235877106,156985.0,0.6810016185788178,0.002395363296766676,2,0.00046673745518070243,1,E029,E029,202.0,112.0,E029,False,34,3689,1597,2,4640,58,1,1,1,77083,155362,42,18,6,12,1,2,372688
