column,name,class,n,zero_share,nunique,mean,std,min,p01,p50,p99,max
c5,Balance pressure,E04,539193,0.04131915659142459,6446,542.16895,1168.2771,-3988.0,-463.0,144.0,4704.0,5458.0
c6,Friction,E01,538870,0.007562120734128825,239,-35.902905,54.5028,-298.0,-142.0,-36.0,66.0,90.0
c6,Friction,E02,265874,0.07370408539383316,616,0.14321445,213.08691,-735.0,-582.0,-14.0,395.0,415.0
c6,Friction,E03,538404,0.0034490828448525642,291,-67.90783,133.23834,-834.0,-556.0,-29.0,66.0,90.0
c6,Friction,E04,539193,0.0034384719386193812,223,-51.833447,39.319054,-194.0,-163.0,-46.0,35.0,49.0
c7,Maximum aperture,E01,538870,0.0,18,162.18742,16.05461,151.97467,151.97467041015625,156.7962,208.20233154296875,208.20233
c7,Maximum aperture,E02,265874,0.0,18,251.37025,71.95281,155.2436,155.47509765625,282.0,390.0,390.0
c7,Maximum aperture,E03,538404,0.0,18,174.29924,41.06258,151.12215,151.1221466064453,156.72563,320.0,320.0
c7,Maximum aperture,E04,539193,0.0,17,157.12148,2.8445687,150.6366,150.6365966796875,156.56473,161.15762329101562,161.15762
c8,Maximum electrode force,E01,538870,0.0,18,5758.1655,1039.4376,4528.0,4528.0,5846.0,7904.0,7904.0
c8,Maximum electrode force,E02,265874,0.0,19,5164.6143,785.5799,4350.0,4350.0,5000.0,8120.0,8120.0
c8,Maximum electrode force,E03,538404,0.0,18,5394.1987,1033.6519,3775.0,3775.0,5147.0,7837.0,7837.0
c8,Maximum electrode force,E04,539193,0.0,18,5426.0645,841.14,4250.0,4250.0,5076.0,8231.0,8231.0
c9,Start friction,E01,538870,0.0,17,232.0731,108.25619,93.0,93.0,220.0,419.0,419.0
c9,Start friction,E02,265874,0.0002219096263643681,25,324.4337,325.62146,-16.0,-16.0,231.0,1398.0,2020.0
c9,Start friction,E03,538404,0.0,18,216.34503,101.46864,-6.0,-6.0,179.0,434.0,434.0
c9,Start friction,E04,539193,0.0,17,211.11235,81.150246,29.0,29.0,201.0,395.0,395.0
c11,Welding point count,E01,538870,0.0,106051,2.3712582e+06,1.4227832e+06,29942.0,30763.0,2.461791e+06,4843154.0,4.847039e+06
c11,Welding point count,E02,265874,0.00016925310485417904,109006,1.812779e+06,1.7364082e+06,0.0,41.0,1.558514e+06,4579463.35,4.587808e+06
c11,Welding point count,E03,538404,0.0,155860,2.2983675e+06,1.680592e+06,3408.0,5092.0,3.07816e+06,4548649.79,4.564777e+06
c11,Welding point count,E04,539193,0.0,221943,2.6758208e+06,1.7838281e+06,192988.0,205241.84,2.68185e+06,6860389.0,6.860625e+06
c12,Position count,E01,538870,0.0,116285,1.7739344e+07,4.8692905e+06,9.950093e+06,9950206.0,1.8307628e+07,27234106.2,2.72834e+07
c12,Position count,E02,265874,0.0,118994,1.5010905e+07,6.109448e+06,3.06754e+06,3113084.25,1.3543807e+07,23485492.32,2.3505092e+07
c12,Position count,E03,538404,0.0,174038,1.4928305e+07,3.2407635e+06,7.866088e+06,7866275.0,1.5196696e+07,19729402.0,1.9774956e+07
c12,Position count,E04,539193,0.0,245494,1.6839888e+07,6.1931775e+06,4.144521e+06,4178401.92,1.7251764e+07,25757707.12,2.5779436e+07
c13,Setpoint counterbalance pressure,E01,538870,0.03734481414812478,166,14.164191,3.2700608,0.0,0.0,14.991055,15.99053955078125,15.99054
c13,Setpoint counterbalance pressure,E02,265874,0.09979163062202397,248,13.181892,4.882891,0.0,0.0,14.991055,16.99002456665039,16.990025
c13,Setpoint counterbalance pressure,E03,538404,0.04282843366691184,192,13.71887,3.6025095,0.0,0.0,14.991055,15.99053955078125,15.99054
c13,Setpoint counterbalance pressure,E04,539193,0.03457389098152239,273,13.418823,3.5794566,0.0,0.0,14.991055,14.99105453491211,14.991055
c14,Setpoint electrode force,E01,538870,0.04068142594688886,32,2840.8052,979.6116,0.0,0.0,3200.0,4300.0,5100.0
c14,Setpoint electrode force,E02,265874,0.11588948148371032,28,2414.307,1057.789,0.0,0.0,2500.0,4200.0,4595.0
c14,Setpoint electrode force,E03,538404,0.06158943841427627,34,2619.7046,959.87616,0.0,0.0,2500.0,4300.0,4500.0
c14,Setpoint electrode force,E04,539193,0.04717976679964317,34,2917.6606,951.0271,0.0,0.0,3000.0,4900.0,5200.0
c15,Setpoint electrode position,E01,538870,0.03734481414812478,101,111.94678,50.3791,0.0,0.0,100.0,200.0,200.0
c15,Setpoint electrode position,E02,265874,0.09979163062202397,60,123.886536,89.55284,-10.1,0.0,100.0,270.0,270.0
c15,Setpoint electrode position,E03,538404,0.04282843366691184,97,112.06875,58.35208,-11.7,0.0,145.0,200.0,298.9
c15,Setpoint electrode position,E04,539193,0.03457389098152239,34,104.949715,45.555267,0.0,0.0,120.0,150.0,160.7
c16,Setpoint sheet thickness,E01,538870,0.10617774231261715,31,2.4826465,1.5928606,0.0,0.0,2.8,3.9000000953674316,32.0
c16,Setpoint sheet thickness,E02,265874,0.1467988596101913,30,2.080846,1.9861377,0.0,0.0,2.1,4.5,32.0
c16,Setpoint sheet thickness,E03,538404,0.0933982659861368,27,2.2823484,1.5799915,0.0,0.0,2.4,3.9000000953674316,32.0
c16,Setpoint sheet thickness,E04,539193,0.08603598340482907,30,2.3252969,1.5660087,0.0,0.0,2.3,5.0,32.0
c17,Setpoint velocity,E01,538870,0.03734481414812478,2,0.9626552,0.1896055,0.0,0.0,1.0,1.0,1.0
c17,Setpoint velocity,E02,265874,0.09979163062202397,2,0.90020835,0.29972255,0.0,0.0,1.0,1.0,1.0
c17,Setpoint velocity,E03,538404,0.04282843366691184,2,0.95717156,0.20247033,0.0,0.0,1.0,1.0,1.0
c17,Setpoint velocity,E04,539193,0.03457389098152239,2,0.9654261,0.1826981,0.0,0.0,1.0,1.0,1.0
c18,Setpoint force build-up,E01,538870,0.9259171970976302,2,0.0740828,0.26190585,0.0,0.0,0.0,1.0,1.0
c18,Setpoint force build-up,E02,265874,0.863574475127316,2,0.13642552,0.3432405,0.0,0.0,0.0,1.0,1.0
c18,Setpoint force build-up,E03,538404,0.888370071544788,2,0.111629926,0.3149109,0.0,0.0,0.0,1.0,1.0
c18,Setpoint force build-up,E04,539193,0.8449404944055282,2,0.1550595,0.36196172,0.0,0.0,0.0,1.0,1.0
c19,Offset value in robot,E01,538870,0.0,442644,1.103558e+09,9.397902e+07,9.4045114e+08,945878398.08,1.1614141e+09,1210697127.68,1.2126019e+09
c19,Offset value in robot,E02,265874,0.0,255531,8.976834e+08,2.4450547e+08,5.5068364e+07,327047222.08,1.010338e+09,1136344039.68,1.1388896e+09
c19,Offset value in robot,E03,538404,0.0,473511,1.1149908e+09,7.852053e+07,1.00255034e+09,1005588824.96,1.1154307e+09,1256408801.28,1.2623414e+09
c19,Offset value in robot,E04,539193,0.0,445791,1.05115603e+09,6.735633e+07,9.892394e+08,994162913.28,1.02370816e+09,1240871357.44,1.2468819e+09
